,Deputat,Grad,Grad_Ponderat,Degree_Centrality,Power_Centrality_Bonacich,Betweenness_Centrality,Stress_Centrality,Prestige_Centrality_PageRank,Eccentricity_Centrality
50,Ion BABICI,1,1,0.01694915254237288,0.00510467537393942,0.0,0.0,0.016666666666666666,0.2
51,Alla DAROVANNAIA,1,1,0.01694915254237288,3.3361830660775943e-22,0.0,0.0,0.016666666666666666,0.5
52,Mariana LUCREȚEANU,1,1,0.01694915254237288,0.016678127700120816,0.0,0.0,0.016666666666666666,0.2
53,Virgiliu PÂSLARIUC,1,1,0.01694915254237288,0.002418818449096008,0.0,0.0,0.016666666666666666,0.16666666666666666
54,Diana CARAMAN,1,1,0.01694915254237288,3.534898433426936e-24,0.0,0.0,0.016666666666666666,1.0
55,Viorel BARDA,1,3,0.01694915254237288,0.012855609096796132,0.0,0.0,0.016666666666666666,0.2
56,Grigore NOVAC,1,4,0.01694915254237288,0.015043949624242865,0.0,0.0,0.016666666666666666,0.16666666666666666
57,Adela RĂILEANU,1,1,0.01694915254237288,3.3361830660775943e-22,0.0,0.0,0.016666666666666666,0.5
58,Vitali GAVROUC,1,1,0.01694915254237288,0.00013567188372631687,0.0,0.0,0.016666666666666666,0.16666666666666666
59,Maria PANCU,1,1,0.01694915254237288,0.016678127700120816,0.0,0.0,0.016666666666666666,0.2
60,Inga SIBOVA,1,1,0.01694915254237288,3.534898433426936e-24,0.0,0.0,0.016666666666666666,1.0
