,Adela RĂILEANU,Adrian BELÎI,Alexandr TRUBCA,Alina DANDARA,Alla DAROVANNAIA,Alla PILIPEȚCAIA,Ana CALINICI,Ana OGLINDA,Ana RACU,Ana SPEIANU,Andrian CHEPTONAR,Angela MUNTEANU-POJOGA,Artemie CĂTĂNOI,Boris MARCOCI,Boris POPA,Corneliu FURCULIȚĂ,Diana CARAMAN,Doina GHERMAN,Dorian ISTRATII,Efimia BANDALAC,Ersilia QATRAWI,Eugeniu SINCHEVICI,Evghenia COJOCARI,Gheorghe ICHIM,Grigore NOVAC,Igor CHIRIAC,Igor GROSU,Ina COȘERU,Inga SIBOVA,Ion BABICI,Ion GROZA,Ion POIA,Ion ȘPAC,Larisa NOVAC,Larisa VOLOH,Lilian CARP,Liliana GROSU,Liliana NICOLAESCU-ONOFREI,Marcela ADAM,Marcela NISTOR,Maria GONȚA,Maria PANCU,Mariana CUȘNIR,Mariana LUCREȚEANU,Marina MOROZOVA,Natalia DAVIDOVICI,Oazu NANTOI,Oleg CANAȚUI,Olesea STAMATE,Petru BURDUJA,Radu MARIAN,Radu MUDREAC,Sergiu LAZARENCU,Vasile GRĂDINARU,Veronica ROȘCA,Victor SPÎNU,Viorel BARDA,Virgiliu PÂSLARIUC,Vitali GAVROUC,Vlad BATRÎNCEA
Ersilia QATRAWI,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.09090909090909091,0.25,0.0,0.0,0.14285714285714285,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.125,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
Eugeniu SINCHEVICI,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.16666666666666666,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0,0.09090909090909091,0.25,0.0,0.0,0.0,0.0
Evghenia COJOCARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gheorghe ICHIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grigore NOVAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igor CHIRIAC,0.0,0.058823529411764705,0.0,0.18181818181818182,0.0,0.0,0.125,0.14285714285714285,0.125,0.1,0.14285714285714285,0.09090909090909091,0.21428571428571427,0.07692307692307693,0.25,0.0,0.0,0.08333333333333333,0.0,0.0,0.1111111111111111,0.0,0.14285714285714285,0.0,0.14285714285714285,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.125,0.14285714285714285,0.0,0.08333333333333333,0.2727272727272727,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.25,0.1,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.18181818181818182,0.23076923076923078,0.0,0.0,0.0,0.0,0.0
Igor GROSU,0.0,0.06666666666666667,0.058823529411764705,0.1,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.07692307692307693,0.0,0.07142857142857142,0.09090909090909091,0.3333333333333333,0.0,0.0,0.2222222222222222,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.2,0.2,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.2,0.0,0.125,0.375,0.16666666666666666,0.0,0.2,0.0,0.0,0.0
Ina COȘERU,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.14285714285714285,0.08333333333333333,0.0,0.07692307692307693,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.14285714285714285,0.0,0.08333333333333333,0.5,0.0,0.0,0.0,0.0
Inga SIBOVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ion BABICI,0.0,0.09090909090909091,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1111111111111111,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Ion GROZA,0.0,0.16666666666666666,0.14285714285714285,0.125,0.0,0.0,0.0,0.09090909090909091,0.0,0.16666666666666666,0.09090909090909091,0.14285714285714285,0.18181818181818182,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.125,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
