Id,Label
Adela RĂILEANU,Adela RĂILEANU
Adrian BELÎI,Adrian BELÎI
Alexandr TRUBCA,Alexandr TRUBCA
Alina DANDARA,Alina DANDARA
Alla DAROVANNAIA,Alla DAROVANNAIA
Alla PILIPEȚCAIA,Alla PILIPEȚCAIA
Ana CALINICI,Ana CALINICI
Ana OGLINDA,Ana OGLINDA
Ana RACU,Ana RACU
Ana SPEIANU,Ana SPEIANU
Andrian CHEPTONAR,Andrian CHEPTONAR
Angela MUNTEANU-POJOGA,Angela MUNTEANU-POJOGA
Artemie CĂTĂNOI,Artemie CĂTĂNOI
Boris MARCOCI,Boris MARCOCI
Boris POPA,Boris POPA
Corneliu FURCULIȚĂ,Corneliu FURCULIȚĂ
Diana CARAMAN,Diana CARAMAN
Doina GHERMAN,Doina GHERMAN
Dorian ISTRATII,Dorian ISTRATII
Efimia BANDALAC,Efimia BANDALAC
Ersilia QATRAWI,Ersilia QATRAWI
Eugeniu SINCHEVICI,Eugeniu SINCHEVICI
Evghenia COJOCARI,Evghenia COJOCARI
Gheorghe ICHIM,Gheorghe ICHIM
Grigore NOVAC,Grigore NOVAC
Igor CHIRIAC,Igor CHIRIAC
Igor GROSU,Igor GROSU
Ina COȘERU,Ina COȘERU
Inga SIBOVA,Inga SIBOVA
Ion BABICI,Ion BABICI
Ion GROZA,Ion GROZA
Ion POIA,Ion POIA
Ion ȘPAC,Ion ȘPAC
Larisa NOVAC,Larisa NOVAC
Larisa VOLOH,Larisa VOLOH
Lilian CARP,Lilian CARP
Liliana GROSU,Liliana GROSU
Liliana NICOLAESCU-ONOFREI,Liliana NICOLAESCU-ONOFREI
Marcela ADAM,Marcela ADAM
Marcela NISTOR,Marcela NISTOR
Maria GONȚA,Maria GONȚA
Maria PANCU,Maria PANCU
Mariana CUȘNIR,Mariana CUȘNIR
Mariana LUCREȚEANU,Mariana LUCREȚEANU
Marina MOROZOVA,Marina MOROZOVA
Natalia DAVIDOVICI,Natalia DAVIDOVICI
Oazu NANTOI,Oazu NANTOI
Oleg CANAȚUI,Oleg CANAȚUI
Olesea STAMATE,Olesea STAMATE
Petru BURDUJA,Petru BURDUJA
Radu MARIAN,Radu MARIAN
Radu MUDREAC,Radu MUDREAC
Sergiu LAZARENCU,Sergiu LAZARENCU
Vasile GRĂDINARU,Vasile GRĂDINARU
Veronica ROȘCA,Veronica ROȘCA
Victor SPÎNU,Victor SPÎNU
Viorel BARDA,Viorel BARDA
Virgiliu PÂSLARIUC,Virgiliu PÂSLARIUC
Vitali GAVROUC,Vitali GAVROUC
Vlad BATRÎNCEA,Vlad BATRÎNCEA
