Source,Target,Weight,Type
Adrian BELÎI,Vasile GRĂDINARU,1,Undirected
Marcela ADAM,Marina MOROZOVA,1,Undirected
Alexandr TRUBCA,Radu MARIAN,1,Undirected
Ana OGLINDA,Doina GHERMAN,1,Undirected
Ion POIA,Radu MARIAN,1,Undirected
Adrian BELÎI,Marina MOROZOVA,1,Undirected
Liliana GROSU,Marina MOROZOVA,1,Undirected
Adela RĂILEANU,Vlad BATRÎNCEA,1,Undirected
Andrian CHEPTONAR,Igor CHIRIAC,1,Undirected
Alexandr TRUBCA,Dorian ISTRATII,1,Undirected
Adrian BELÎI,Maria PANCU,1,Undirected
Ion BABICI,Radu MARIAN,1,Undirected
Ersilia QATRAWI,Virgiliu PÂSLARIUC,1,Undirected
Alexandr TRUBCA,Boris MARCOCI,1,Undirected
Andrian CHEPTONAR,Ion POIA,1,Undirected
Igor CHIRIAC,Ion GROZA,1,Undirected
Corneliu FURCULIȚĂ,Radu MUDREAC,1,Undirected
Marcela NISTOR,Vitali GAVROUC,1,Undirected
Alexandr TRUBCA,Ana OGLINDA,1,Undirected
Boris MARCOCI,Mariana CUȘNIR,1,Undirected
Alexandr TRUBCA,Doina GHERMAN,1,Undirected
Igor CHIRIAC,Olesea STAMATE,1,Undirected
Diana CARAMAN,Inga SIBOVA,1,Undirected
Alina DANDARA,Ina COȘERU,1,Undirected
Artemie CĂTĂNOI,Vasile GRĂDINARU,1,Undirected
Angela MUNTEANU-POJOGA,Artemie CĂTĂNOI,1,Undirected
Artemie CĂTĂNOI,Lilian CARP,1,Undirected
Alexandr TRUBCA,Mariana CUȘNIR,1,Undirected
Alexandr TRUBCA,Igor GROSU,1,Undirected
Adrian BELÎI,Radu MARIAN,1,Undirected
Adrian BELÎI,Mariana LUCREȚEANU,1,Undirected
Artemie CĂTĂNOI,Ersilia QATRAWI,1,Undirected
Corneliu FURCULIȚĂ,Petru BURDUJA,1,Undirected
Boris MARCOCI,Igor GROSU,1,Undirected
Alla DAROVANNAIA,Vlad BATRÎNCEA,1,Undirected
Lilian CARP,Veronica ROȘCA,1,Undirected
Ana OGLINDA,Larisa VOLOH,1,Undirected
Lilian CARP,Vasile GRĂDINARU,1,Undirected
Natalia DAVIDOVICI,Olesea STAMATE,1,Undirected
Boris POPA,Veronica ROȘCA,1,Undirected
Adrian BELÎI,Natalia DAVIDOVICI,1,Undirected
Angela MUNTEANU-POJOGA,Igor CHIRIAC,1,Undirected
Ina COȘERU,Radu MARIAN,1,Undirected
Boris MARCOCI,Radu MARIAN,1,Undirected
Alexandr TRUBCA,Marina MOROZOVA,1,Undirected
Ina COȘERU,Larisa VOLOH,1,Undirected
Alina DANDARA,Olesea STAMATE,1,Undirected
Ersilia QATRAWI,Sergiu LAZARENCU,1,Undirected
Igor GROSU,Veronica ROȘCA,1,Undirected
Alina DANDARA,Victor SPÎNU,1,Undirected
Larisa VOLOH,Maria GONȚA,1,Undirected
Andrian CHEPTONAR,Ion ȘPAC,1,Undirected
Angela MUNTEANU-POJOGA,Evghenia COJOCARI,1,Undirected
Dorian ISTRATII,Eugeniu SINCHEVICI,1,Undirected
Alexandr TRUBCA,Larisa VOLOH,1,Undirected
Olesea STAMATE,Radu MARIAN,1,Undirected
Alla PILIPEȚCAIA,Petru BURDUJA,1,Undirected
Andrian CHEPTONAR,Oazu NANTOI,1,Undirected
Ana CALINICI,Igor GROSU,1,Undirected
Larisa NOVAC,Sergiu LAZARENCU,1,Undirected
Ana OGLINDA,Liliana NICOLAESCU-ONOFREI,1,Undirected
Ana OGLINDA,Ion GROZA,1,Undirected
Ana RACU,Artemie CĂTĂNOI,1,Undirected
Marcela NISTOR,Oazu NANTOI,1,Undirected
Angela MUNTEANU-POJOGA,Liliana NICOLAESCU-ONOFREI,1,Undirected
Lilian CARP,Natalia DAVIDOVICI,1,Undirected
Ana RACU,Liliana GROSU,1,Undirected
Igor CHIRIAC,Lilian CARP,1,Undirected
Dorian ISTRATII,Efimia BANDALAC,1,Undirected
Alexandr TRUBCA,Oazu NANTOI,1,Undirected
Petru BURDUJA,Radu MUDREAC,1,Undirected
Alexandr TRUBCA,Sergiu LAZARENCU,1,Undirected
Efimia BANDALAC,Larisa VOLOH,1,Undirected
