Source,Target,Weight,Type
Artemie CĂTĂNOI,Veronica ROȘCA,11,Undirected
Dorian ISTRATII,Radu MARIAN,6,Undirected
Boris MARCOCI,Lilian CARP,5,Undirected
Eugeniu SINCHEVICI,Liliana NICOLAESCU-ONOFREI,5,Undirected
Andrian CHEPTONAR,Lilian CARP,5,Undirected
Adrian BELÎI,Veronica ROȘCA,5,Undirected
Alina DANDARA,Doina GHERMAN,4,Undirected
Angela MUNTEANU-POJOGA,Grigore NOVAC,4,Undirected
Larisa NOVAC,Liliana NICOLAESCU-ONOFREI,3,Undirected
Artemie CĂTĂNOI,Igor CHIRIAC,3,Undirected
Alexandr TRUBCA,Viorel BARDA,3,Undirected
Igor CHIRIAC,Veronica ROȘCA,3,Undirected
Boris MARCOCI,Boris POPA,3,Undirected
Ina COȘERU,Mariana CUȘNIR,3,Undirected
Radu MARIAN,Sergiu LAZARENCU,3,Undirected
Marina MOROZOVA,Radu MARIAN,3,Undirected
Adrian BELÎI,Doina GHERMAN,2,Undirected
Ana OGLINDA,Artemie CĂTĂNOI,2,Undirected
Alina DANDARA,Eugeniu SINCHEVICI,2,Undirected
Andrian CHEPTONAR,Veronica ROȘCA,2,Undirected
Ana OGLINDA,Vasile GRĂDINARU,2,Undirected
Radu MARIAN,Victor SPÎNU,2,Undirected
Boris MARCOCI,Vasile GRĂDINARU,2,Undirected
Alina DANDARA,Veronica ROȘCA,2,Undirected
Doina GHERMAN,Marina MOROZOVA,2,Undirected
Alexandr TRUBCA,Vasile GRĂDINARU,2,Undirected
Adrian BELÎI,Igor GROSU,2,Undirected
Artemie CĂTĂNOI,Boris POPA,2,Undirected
Liliana NICOLAESCU-ONOFREI,Marcela ADAM,2,Undirected
Artemie CĂTĂNOI,Larisa VOLOH,2,Undirected
Adrian BELÎI,Ana OGLINDA,2,Undirected
Ana CALINICI,Veronica ROȘCA,2,Undirected
Gheorghe ICHIM,Oleg CANAȚUI,2,Undirected
Doina GHERMAN,Ion GROZA,2,Undirected
Adrian BELÎI,Oazu NANTOI,1,Undirected
Andrian CHEPTONAR,Marina MOROZOVA,1,Undirected
Ana SPEIANU,Andrian CHEPTONAR,1,Undirected
Ana SPEIANU,Liliana NICOLAESCU-ONOFREI,1,Undirected
Efimia BANDALAC,Liliana NICOLAESCU-ONOFREI,1,Undirected
Ana OGLINDA,Ana SPEIANU,1,Undirected
Ana SPEIANU,Radu MARIAN,1,Undirected
Andrian CHEPTONAR,Radu MARIAN,1,Undirected
