Titlu,Numar_Autori,Autori_Deputati
Proiectul de lege pentru modificarea unor acte normative (aspecte legate de pensia de urmaș pentru copiii cu dizabilități severe și persoanele cu dizabilități severe din copilărie),2,"Liliana GROSU, Marina MOROZOVA"
Proiectul de lege cu privire la acordarea suportului financiar unic cu ocazia aniversării a 80 de ani de la Marea Victorie asupra fascismului,2,"Adela RĂILEANU, Vlad BATRÎNCEA"
Proiectul de lege cu privire la Procuratura Anticorupție și Combaterea Crimei Organizate,2,"Andrian CHEPTONAR, Igor CHIRIAC"
Proiectul de lege pentru modificarea Codului contravențional al Republicii Moldova nr. 218/2008 (art.439),2,"Alexandr TRUBCA, Dorian ISTRATII"
Proiectul de lege pentru modificarea Legii nr. 156/1998 privind sistemul public de pensii (pensia minimă pentru limita de vârstă pentru persoanele cu activitate în muncă de cel puțin 40 de ani),2,"Adrian BELÎI, Maria PANCU"
"Proiectul de lege pentru modificarea Codului funciar nr.22/2024 (art.23, 27, 58)",2,"Ion BABICI, Radu MARIAN"
"Proiectul de lege cu privire la modificarea unor acte normative (privind actualizarea cadrului normativ ce vizează politica în domeniul urbanismului, amenajării teritoriului și al construcțiilor)",2,"Boris MARCOCI, Vasile GRĂDINARU"
Proiectul de lege pentru modificarea unor acte normative (combaterea eficientă a fenomenului corupției electorale și aspectele conexe acestuia),2,"Alina DANDARA, Veronica ROȘCA"
Proiectul de hotărâre cu privire la declararea anului 2025 – Anul Mihai Eminescu,2,"Ersilia QATRAWI, Virgiliu PÂSLARIUC"
Proiectul de hotărâre cu privire la rezultatul audierilor parlamentare privind fraudele electorale semnalate în cadrul scrutinelor electorale din 2024,2,"Adrian BELÎI, Veronica ROȘCA"
"Proiectul de lege pentru modificarea Legii nr.238/2022 cu privire la acordarea statutului de obiect al patrimoniului cultural-național al Republicii Moldova bunurilor Societății pe Acțiuni „Barza Albă” (art.11, 13)",2,"Alexandr TRUBCA, Boris MARCOCI"
Proiectul de lege privind implementarea unor măsuri de sprijin pentru fermieri în legătură cu seceta din anul 2024,2,"Alexandr TRUBCA, Viorel BARDA"
"Proiectul de lege pentru modificarea Codului vamal nr. 95/2021(art.96, 427)",2,"Dorian ISTRATII, Radu MARIAN"
"Proiectul de lege pentru modificarea Legii nr. 241/2022 privind Fondul de reducere a vulnerabilității energetice (art.2, 3, 4, ș.a.)",2,"Doina GHERMAN, Marina MOROZOVA"
Proiectul de lege privind importul unor mijloace de transport,2,"Andrian CHEPTONAR, Ion POIA"
Proiectul de hotărâre pentru modificarea Anexei nr.1 a Hotărârii Parlamentului privind aprobarea structurii și efectivului-limită ale Centrului Național Anticorupție nr.34/2016,2,"Artemie CĂTĂNOI, Veronica ROȘCA"
"Proiectul de lege pentru modificarea unor acte normative (Codul contravențional al Republicii Moldova nr.218/2008 – art.277`1; Legea nr. 291/2016 cu privire la organizarea și desfășurarea jocurilor de noroc – art.53, 54; ș.a.)",2,"Dorian ISTRATII, Radu MARIAN"
"Proiectul de lege cu privire la modificarea unor acte normative (Codul de procedură penală al Republicii Moldova – art.547; Legea nr.270/2008 privind azilul în Republica Moldova – art.62, 64, 65)",2,"Artemie CĂTĂNOI, Veronica ROȘCA"
Proiectul de lege cu privire la modificarea Art. I din Legea nr. 136/2024 pentru modificarea unor acte normative (modificarea Codului penal și Codului contravențional),2,"Igor CHIRIAC, Ion GROZA"
Proiectul de lege pentru interpretarea art.3 alin.(5) din Legea nr.252/2023 privind evaluarea externă a judecătorilor și procurorilor și modificarea unor acte normative raportate la prevederile art.40 alin.(5) și (6) din Legea nr.3/2016 cu privire la Procuratură,2,"Artemie CĂTĂNOI, Igor CHIRIAC"
Proiectul de hotărâre privind constituirea Comisiei speciale pentru identificarea măsurilor privind depășirea crizei din domeniul agricol,2,"Corneliu FURCULIȚĂ, Radu MUDREAC"
"Proiectul de lege pentru modificarea unor acte normative (Legea nr. 26/2022 privind unele măsuri aferente selectării candidaților la funcția de membru în organele de autoadministrare ale judecătorilor și procurorilor – art.10, 14; Legea nr. 65/2023 privind evaluarea externă a judecătorilor și a candidaților la funcția de judecător al Curții Supreme de Justiție – art.13, 18, 19; ș.a.)",2,"Boris MARCOCI, Vasile GRĂDINARU"
"Proiectul de lege privind modificarea Codului contravențional al Republicii Moldova nr.218/2008 (art.47`1, 401)",2,"Igor CHIRIAC, Veronica ROȘCA"
Proiectul de hotărâre privind aprobarea structurii organizatorice a Consiliului Concurenței,2,"Dorian ISTRATII, Radu MARIAN"
Proiectul de lege cu privire la veteranii de război,2,"Boris MARCOCI, Boris POPA"
"Proiectul de lege cu privire la modificarea unor acte normative (privind ajustarea cadrului normativ ce vizează politica în domeniul urbanismului, amenajării teritoriului și al construcțiilor)",2,"Alexandr TRUBCA, Vasile GRĂDINARU"
Proiectul de lege pentru modificarea și completarea Codului Educației al Republicii Moldova nr.152/2014 (cu privire la învățământul artistic),2,"Marcela NISTOR, Vitali GAVROUC"
"Proiectul de lege pentru interpretarea unor articole din Regulamentul Parlamentului, adoptat prin Legea nr.797-XIII din 2 aprilie 1996",2,"Andrian CHEPTONAR, Veronica ROȘCA"
"Proiectul de lege pentru modificarea Legii nr. 1540/1998 privind plata pentru poluarea mediului (art.3, 11, 14)",2,"Ina COȘERU, Mariana CUȘNIR"
Proiectul de lege pentru modificarea Art. I din Legea nr.170/2018 cu privire la înmatricularea unor mijloace de transport și modificarea unor acte legislative,2,"Alexandr TRUBCA, Ana OGLINDA"
Proiectul de hotărâre cu privire la Raportul de activitate al Fondului de garantare a depozitelor în sistemul bancar pentru anul 2023,2,"Dorian ISTRATII, Radu MARIAN"
"Proiectul de lege pentru modificarea Legii nr. 10/2016 privind promovarea utilizării energiei din surse regenerabile (art.10, 11, 28, ș.a.)",2,"Boris MARCOCI, Mariana CUȘNIR"
Proiectul de hotărâre privind desemnarea unui membru în Comisia de evaluare externă a integrității etice şi financiare a procurorilor și modificarea Hotărârii Parlamentului nr. 364/2023,2,"Artemie CĂTĂNOI, Veronica ROȘCA"
"Proiectul de hotărâre pentru aprobarea Declarației Parlamentului Republicii Moldova cu privire la condamnarea politicii de genocid a Federației Ruse împotriva Ucrainei, realizată prin strămutarea forțată și deportarea copiilor ucraineni pe teritoriile temporar ocupate ale Ucrainei și pe teritoriul Federației Ruse",2,"Alexandr TRUBCA, Doina GHERMAN"
Proiectul de lege pentru modificarea unor acte normative (declararea averii și a intereselor personale),2,"Igor CHIRIAC, Olesea STAMATE"
Proiectul de hotărâre cu privire la Raportul general al Consiliului pentru egalitate privind situația în domeniul prevenirii și combaterii discriminării în Republica Moldova în anul 2023,2,"Angela MUNTEANU-POJOGA, Grigore NOVAC"
Proiectul de hotărâre privind încetarea calității de membru în Comisia de evaluare externă a integrității etice şi financiare a procurorilor,2,"Artemie CĂTĂNOI, Veronica ROȘCA"
Proiectul de hotărâre privind încetarea calității de membru în Comisia independentă de evaluare a integrității candidaților la funcția de membru în organele de autoadministrare ale judecătorilor şi procurorilor,2,"Artemie CĂTĂNOI, Veronica ROȘCA"
Proiectul de hotărâre cu privire la stabilirea datei alegerilor pentru funcția de Președinte al Republicii Moldova,2,"Artemie CĂTĂNOI, Veronica ROȘCA"
Proiectul de hotărâre cu privire la Raportul anual de performanță al Agenției Naționale pentru Soluționarea Contestațiilor pe anul 2023,2,"Radu MARIAN, Victor SPÎNU"
"Proiectul de lege pentru modificarea unor acte normative (Codul vamal nr.95/2021 – art.1, 58, 169, ș.a.; Legea nr. 108/2016 cu privire la gazele naturale – art.9; ș.a.)",2,"Dorian ISTRATII, Radu MARIAN"
Proiectul de hotărâre cu privire la Raportul Avocatului Poporului privind respectarea drepturilor și libertăților omului în Republica Moldova în anul 2023,2,"Angela MUNTEANU-POJOGA, Grigore NOVAC"
Proiectul de hotărâre privind desfășurarea referendumului republican constituțional,2,"Adrian BELÎI, Igor GROSU"
Proiectul de lege pentru modificarea articolului 59 alin.(3) din Legea cu privire la locuințe nr.75/2015,2,"Diana CARAMAN, Inga SIBOVA"
