Titlu,Numar_Autori,Autori_Deputati
Proiectul de lege pentru modificarea anexei la Legea nr.668/1995 pentru aprobarea Listei unităților ale căror terenuri destinate agriculturii rămân în proprietatea statului,2,"Ana OGLINDA, Larisa VOLOH"
Proiectul de hotărâre privind aprobarea Programului național de integritate și anticorupție pentru anii 2024-2028 și a Planului de acțiuni pentru implementarea Programului național de integritate și anticorupție pentru anii 2024-2028,2,"Boris MARCOCI, Lilian CARP"
"Proiectul de lege cu privire la statutul, conduita și etica deputatului în Parlament",2,"Adrian BELÎI, Veronica ROȘCA"
"Proiectul de lege pentru modificarea unor acte normative (Legea securității statului nr.618/1995 – art.13; Legea nr.619/1995 privind organele securității statului – art.13, 14`1)",2,"Lilian CARP, Vasile GRĂDINARU"
"Proiectul de hotărâre privind aprobarea Concepției de comunicare strategică și contracarare a dezinformării, a acțiunilor de manipulare a informației și ingerințelor străine pentru anii 2024-2028",2,"Andrian CHEPTONAR, Lilian CARP"
Proiectul de hotărâre privind aprobarea structurii și efectivului-limită ale Centrului de Comunicare Strategică și Combatere a Dezinformării,2,"Andrian CHEPTONAR, Lilian CARP"
Proiectul de lege privind introducerea în Republica Moldova a unor unități de transport electric,2,"Boris MARCOCI, Lilian CARP"
Proiectul de hotărâre privind modificarea Hotărârii Parlamentului nr.239/2020 pentru aprobarea Strategiei naţionale de prevenire şi combatere a spălării banilor şi finanţării terorismului pentru anii 2020–2025 şi a Planului de acţiuni pentru implementarea Strategiei naţionale de prevenire şi combatere a spălării banilor şi finanţării terorismului pentru anii 2020-2025,2,"Boris MARCOCI, Lilian CARP"
Proiectul de hotărâre privind desemnarea unui membru în Consiliul de supraveghere și dezvoltare al furnizorului public național de servicii media,2,"Eugeniu SINCHEVICI, Liliana NICOLAESCU-ONOFREI"
"Proiectul de lege pentru modificarea unor acte normative (Codul administrativ al Republicii Moldova nr.116/2018 – art.2, 3, 6, ș.a.; Codul de executare nr.443/2004 – art.11, 15, 16; ș.a.)",2,"Natalia DAVIDOVICI, Olesea STAMATE"
Proiectul de hotărâre privind numirea în funcția de director al Centrului Național Anticorupție,2,"Adrian BELÎI, Veronica ROȘCA"
Proiectul de hotărâre privind încetarea mandatului de director al Centrului Național Anticorupție,2,"Boris POPA, Veronica ROȘCA"
Proiectul de hotărâre pentru aprobarea Declarației Parlamentului Republicii Moldova în susținerea poporului Israelului și condamnarea atacurilor teroriste,2,"Adrian BELÎI, Natalia DAVIDOVICI"
"Proiectul de lege pentru modificarea unor acte normative (Codul penal al Republicii Moldova nr. 985/2002 – art.57, 58, 59, ș.a.; Codul de procedură penală al Republicii Moldova nr. 122/2003 – art.510; ș.a.)",2,"Adrian BELÎI, Veronica ROȘCA"
"Proiectul de lege pentru modificarea unor acte normative (Legea nr.768/2000 privind statutul alesului local – art.5, 25; Legea nr.436/2006 privind administrația publică locală – art.12, 28, 31, 50)",2,"Artemie CĂTĂNOI, Larisa VOLOH"
"Proiectul de lege pentru modificarea Legii nr.107/2016 cu privire la energia electrică (art.48, 55, 58)",2,"Angela MUNTEANU-POJOGA, Igor CHIRIAC"
Proiectul de lege cu privire la acordarea facilităților fiscale și vamale la importul și/sau livrările de mărfuri și/sau servicii destinate implementării Proiectului „Moldova drumuri III”,2,"Radu MARIAN, Sergiu LAZARENCU"
Proiectul de lege pentru modificarea unor acte normative (Legea nr.140-XV din 10.05.2001 privind Inspecția Muncii – art.7; Legea nr.199/2010 cu privire la statutul persoanelor cu funcții de demnitate publică - anexa),2,"Doina GHERMAN, Marina MOROZOVA"
Proiectul de lege pentru modificarea unor acte normative (Legea nr.548/1995 cu privire la Banca Națională a Moldovei – art.23; Legea nr.133/2011 privind protecția datelor cu caracter personal – art.22; Legea nr.131/2015 privind achizițiile publice - 81),2,"Marina MOROZOVA, Radu MARIAN"
"Proiectul de lege pentru modificarea Legii nr.761/2001 cu privire la serviciul diplomatic (art.1, 2, 3 ș.a.)",2,"Alina DANDARA, Doina GHERMAN"
Proiectul de lege cu privire la Fondul de subvenționare în domeniul mass-media,2,"Eugeniu SINCHEVICI, Liliana NICOLAESCU-ONOFREI"
Proiectul de lege pentru modificarea Legii nr. 264/2005 cu privire la exercitarea profesiunii de medic,2,"Adrian BELÎI, Ana OGLINDA"
